Company,Title,Original Price,Current Price,Number of Reviews
더마토리,더마토리 프로 비타 에이 레티날덤 밴드 마스크 1매 (모공탄력),"4,000","2,000",999+
닥터지,닥터지 브라이트닝 필링젤 120g 기획 (필링젤 60g+배리어D로션 2ml),"21,000","17,850",999+
아리얼,[ 1월 올영픽] 아리얼 스트레스 릴리빙 립앤아이 리무버 패드 30매,"3,900","2,800",999+
3CE,[2023어워즈/한정기획] 3CE 블러 매트 립스틱(단품/기획),"22,000","16,500",999+
메디힐,[단독기획] 메디힐 마데카소사이드 에센셜 마스크 10+1매 기획,"20,000","10,000",999+
에뛰드,[올영단독] 에뛰드 진저 슈가 립케어 3종 택1 (립마스크/립밤/스틱),"7,000","6,300",999+
트리헛,[7년연속 1위][규진 PICK] 트리헛 시어 슈가 스크럽 510g 12종 택1 (단품/기획),"22,500","18,000",999+
브링그린,[백현 PICK] 브링그린 티트리시카수딩크림플러스 100mL더블기획_NEW,"34,200","20,520",999+
테라브레스,테라브레스 오랄린스 패밀리사이즈 1L+150ml 기획 (12ml*5ea 증정) 중 택1,"22,900","20,100",999+
메디힐,메디힐 워터마이드 에센셜 마스크 1매,"2,000","1,000",999+
라이브오랄스,라이브오랄스 퓨어다이아 치아미백제 (2주분),"32,500","29,100",361
그린몬스터,[1월 올영픽] 그린몬스터 데일리 헐리우드48시간 원조 비건 클렌즈,"3,800","3,100",999+
크리니크,[2023 어워즈] 크리니크 치크 팝 단품 택1 (발레리나팝 외),"36,000","30,600",999+
일소,[로운PICK]일소 네추럴 마일드 클리어 노우즈 팩 5매입,"12,900","11,900",999+
피지오겔,[한정기획] 피지오겔 DMT 페이셜 로션 200ml+50ml 증정 기획,"38,000","21,500",999+
더하르나이,[혜림쌤 PICK][단독기획]더하르나이 시카이드 크림 100ml + 30ml 기획,"29,000","23,200",186
메디힐,[NEW]메디힐 레티놀 콜라겐 아이 앰플 패치 60매,"23,000","13,900",662
롬앤,[섀도우] 롬앤 베러 댄 팔레트 (단품/기획),"30,000","22,900",999+
덴티스테,덴티스테 후레쉬 브레스 스프레이 15ml,"8,900","7,100",999+
코스알엑스,코스알엑스 클리어 핏 마스터 패치 18매,"3,500","2,100",99
아로마티카,아로마티카 퓨어 앤 소프트 여성청결제 듀오 2종 택 1 (170ml 기획 / 200ml 기획),"35,000","21,000",999+
라씨엘르,[단독증량기획] 라씨엘르 엔자임 곡물 클렌징 파우더워시 기획 (본품60g + 10g 추가 증정),"24,000","16,800",999+
바른생각,[의료기기] 바른생각 콘돔 8종 택 1 (초박형/에어핏/워터리/라지핏/슬림핏/퍼펙트핏/대용량/슬림핏),"13,900","10,900",999+
파티온,[단독기획] 파티온 노스카나인 트러블 흔적 앰플 30ml 한정기획(+트러블세럼 30ml & 흔적크림 1ml*3),"48,000","38,400",999+
에스트라,에스트라 아토베리어365 하이드로 수딩크림 60ml,"33,000","26,400",999+
바이탈뷰티,[1월 올영픽][민스코PICK/30+10포]바이탈뷰티 슈퍼레티놀C 기획세트,"28,000","22,400",999+
아임미미,[쉐딩스틱][하리무&레디 Pick]아임미미 아임멀티스틱 쉐딩 하이라이터 블러셔),"12,000","9,000",999+
좋은느낌,좋은느낌 좋은순면 생리대 4종 택 1 (중형 / 대형 / 수퍼롱 / 라이너),"6,000","3,300",999+
듀이트리,[더보이즈큐포카&다꾸템증정]AC 컨트롤 딥 그린 카밍 에센스 기획(40ml+크림20ml),"28,000","17,600",999+
피카소,피카소 메이크업 스파츌라 어워즈 한정기획(+클라우드 퍼프2P+헤어핀2P),"19,000","14,160",999+
비건이펙트,비건이펙트 클린 앤 글로우 청보리 LHA 젤 클렌저 205ml 기획 (+토너패드 4EA 증정),"22,000","20,000",441
포맨트,[1등 향수] 시그니처 퍼퓸 50ml 코튼허그 어워즈 한정기획 (본품+휴대용 향수 9ml),"39,000","37,000",999+
데이지크,[NEW컬러] 데이지크 쥬시 듀이 틴트 19종 택 1,"17,000","11,900",999+
라엘,라엘 유기농순면커버 생리대 6종 택1,"7,900","6,900",999+
푸드올로지,[서현pick]콜레올로지 버닝올로지 디데이 3.8g*5포 (5일분),"18,900","15,600",999+
라운드랩,[단독대용량] 라운드랩 자작나무 수분 크림 120ml 기획 (+수분패드 4매),"42,000","27,300",999+
에스쁘아,[1월 올영픽] 에스쁘아 프로테일러 파운데이션 비글로우 뉴클래스 30g,"40,000","29,900",999+
러븀,러븀 슬로우 에이징 피토 콜라겐 겔 마스크 5매입,"25,000","16,700",728
필리밀리,필리밀리S 브러시 7종 택1,"35,000","27,120",999+
